Speed,Method,Episode,Selection,TrajectoryFrame,Termination,Source
0.35,Y-only,37,auto_high_conflict_episode,world_xy_train_play,collision,agents/eval_data_fig6_trajectories_worldxy/s_0.35/moe_teacher_s_pcr_line_avoid_basic_yonly_seed1_20260611_183426/timeseries.csv
0.35,Geom-w,37,auto_high_conflict_episode,world_xy_train_play,success,agents/eval_data_fig6_trajectories_worldxy/s_0.35/moe_teacher_s_pcr_line_avoid_basic_geomw_w0.15_seed1_20260611_192139/timeseries.csv
0.35,Risk-only,37,auto_high_conflict_episode,world_xy_train_play,collision,agents/eval_data_fig6_trajectories_worldxy/s_0.35/moe_teacher_s_pcr_line_avoid_basic_risk_only_gam0.15_seed1_20260611_200747/timeseries.csv
0.35,Rule-Override,37,auto_high_conflict_episode,world_xy_train_play,collision,agents/eval_data_fig6_trajectories_worldxy/s_0.35/moe_teacher_s_pcr_line_avoid_basic_rule_override_k8_m0.1_h0.45_smin0.85_slow0.1_yawloss0.3_seed1_20260611_205642/timeseries.csv
0.35,Learned-w,37,auto_high_conflict_episode,world_xy_train_play,success,agents/eval_data_fig6_trajectories_worldxy/s_0.35/moe_teacher_s_pcr_line_avoid_basic_learnedw2_signed_lam0.3_gam0.15_m0.05_rowrel_aux0.05_riskmem_lc0.4_seed1_20260611_214435/timeseries.csv
0.50,Y-only,37,auto_high_conflict_episode,world_xy_train_play,follow_lost,agents/eval_data_fig6_trajectories_worldxy/s_0.5/moe_teacher_s_pcr_line_avoid_basic_yonly_seed1_20260611_224021/timeseries.csv
0.50,Geom-w,37,auto_high_conflict_episode,world_xy_train_play,success,agents/eval_data_fig6_trajectories_worldxy/s_0.5/moe_teacher_s_pcr_line_avoid_basic_geomw_w0.15_seed1_20260611_232255/timeseries.csv
0.50,Risk-only,37,auto_high_conflict_episode,world_xy_train_play,collision,agents/eval_data_fig6_trajectories_worldxy/s_0.5/moe_teacher_s_pcr_line_avoid_basic_risk_only_gam0.15_seed1_20260612_000051/timeseries.csv
0.50,Rule-Override,37,auto_high_conflict_episode,world_xy_train_play,collision,agents/eval_data_fig6_trajectories_worldxy/s_0.5/moe_teacher_s_pcr_line_avoid_basic_rule_override_k8_m0.1_h0.45_smin0.85_slow0.1_yawloss0.3_seed1_20260612_003555/timeseries.csv
0.50,Learned-w,37,auto_high_conflict_episode,world_xy_train_play,success,agents/eval_data_fig6_trajectories_worldxy/s_0.5/moe_teacher_s_pcr_line_avoid_basic_learnedw2_signed_lam0.3_gam0.15_m0.05_rowrel_aux0.05_riskmem_lc0.4_seed1_20260612_011004/timeseries.csv
0.60,Y-only,37,auto_high_conflict_episode,world_xy_train_play,follow_lost,agents/eval_data_fig6_trajectories_worldxy/s_0.6/moe_teacher_s_pcr_line_avoid_basic_yonly_seed1_20260612_014717/timeseries.csv
0.60,Geom-w,37,auto_high_conflict_episode,world_xy_train_play,follow_lost,agents/eval_data_fig6_trajectories_worldxy/s_0.6/moe_teacher_s_pcr_line_avoid_basic_geomw_w0.15_seed1_20260612_025545/timeseries.csv
0.60,Risk-only,37,auto_high_conflict_episode,world_xy_train_play,collision,agents/eval_data_fig6_trajectories_worldxy/s_0.6/moe_teacher_s_pcr_line_avoid_basic_risk_only_gam0.15_seed1_20260612_033818/timeseries.csv
0.60,Rule-Override,37,auto_high_conflict_episode,world_xy_train_play,collision,agents/eval_data_fig6_trajectories_worldxy/s_0.6/moe_teacher_s_pcr_line_avoid_basic_rule_override_k8_m0.1_h0.45_smin0.85_slow0.1_yawloss0.3_seed1_20260612_040756/timeseries.csv
0.60,Learned-w,37,auto_high_conflict_episode,world_xy_train_play,success,agents/eval_data_fig6_trajectories_worldxy/s_0.6/moe_teacher_s_pcr_line_avoid_basic_learnedw2_signed_lam0.3_gam0.15_m0.05_rowrel_aux0.05_riskmem_lc0.4_seed1_20260612_044832/timeseries.csv
