Episode,Score,LayoutOK,LearnedSuccess,BaselineCollisions,BaselineFailures,Reason
1,136.000,1,1,3,1,"yonly:collision,geomw:follow_lost,risk_only:collision,rule_override:collision,learnedw:success"
31,136.000,1,1,3,1,"yonly:collision,geomw:collision,risk_only:follow_lost,rule_override:collision,learnedw:success"
35,136.000,1,1,3,1,"yonly:collision,geomw:collision,risk_only:follow_lost,rule_override:collision,learnedw:success"
41,136.000,1,1,3,1,"yonly:collision,geomw:collision,risk_only:follow_lost,rule_override:collision,learnedw:success"
37,120.000,1,1,2,2,"yonly:follow_lost,geomw:follow_lost,risk_only:collision,rule_override:collision,learnedw:success"
53,120.000,1,1,2,2,"yonly:collision,geomw:follow_lost,risk_only:follow_lost,rule_override:collision,learnedw:success"
55,120.000,1,1,2,2,"yonly:collision,geomw:collision,risk_only:follow_lost,rule_override:follow_lost,learnedw:success"
29,118.000,1,1,3,0,"yonly:collision,geomw:collision,risk_only:success,rule_override:collision,learnedw:success"
48,118.000,1,1,3,0,"yonly:collision,geomw:collision,risk_only:collision,rule_override:success,learnedw:success"
13,104.000,1,1,1,3,"yonly:follow_lost,geomw:follow_lost,risk_only:follow_lost,rule_override:collision,learnedw:success"
27,104.000,1,1,1,3,"yonly:follow_lost,geomw:collision,risk_only:follow_lost,rule_override:follow_lost,learnedw:success"
45,104.000,1,1,1,3,"yonly:follow_lost,geomw:collision,risk_only:follow_lost,rule_override:follow_lost,learnedw:success"
49,104.000,1,1,1,3,"yonly:follow_lost,geomw:follow_lost,risk_only:follow_lost,rule_override:collision,learnedw:success"
7,102.000,1,1,2,1,"yonly:collision,geomw:success,risk_only:follow_lost,rule_override:collision,learnedw:success"
9,102.000,1,1,2,1,"yonly:collision,geomw:success,risk_only:follow_lost,rule_override:collision,learnedw:success"
25,102.000,1,1,2,1,"yonly:collision,geomw:success,risk_only:follow_lost,rule_override:collision,learnedw:success"
63,102.000,1,1,2,1,"yonly:collision,geomw:success,risk_only:follow_lost,rule_override:collision,learnedw:success"
3,86.000,1,1,1,2,"yonly:follow_lost,geomw:success,risk_only:follow_lost,rule_override:collision,learnedw:success"
17,86.000,1,1,1,2,"yonly:follow_lost,geomw:success,risk_only:follow_lost,rule_override:collision,learnedw:success"
19,86.000,1,1,1,2,"yonly:collision,geomw:success,risk_only:follow_lost,rule_override:follow_lost,learnedw:success"
39,86.000,1,1,1,2,"yonly:collision,geomw:success,risk_only:follow_lost,rule_override:follow_lost,learnedw:success"
51,86.000,1,1,1,2,"yonly:collision,geomw:success,risk_only:follow_lost,rule_override:follow_lost,learnedw:success"
59,86.000,1,1,1,2,"yonly:follow_lost,geomw:success,risk_only:follow_lost,rule_override:collision,learnedw:success"
61,86.000,1,1,1,2,"yonly:follow_lost,geomw:success,risk_only:follow_lost,rule_override:collision,learnedw:success"
4,84.000,1,1,2,0,"yonly:collision,geomw:success,risk_only:collision,rule_override:success,learnedw:success"
15,84.000,1,1,2,0,"yonly:collision,geomw:success,risk_only:success,rule_override:collision,learnedw:success"
34,84.000,1,1,2,0,"yonly:success,geomw:collision,risk_only:collision,rule_override:success,learnedw:success"
60,84.000,1,1,2,0,"yonly:success,geomw:collision,risk_only:collision,rule_override:success,learnedw:success"
5,68.000,1,1,1,1,"yonly:collision,geomw:success,risk_only:success,rule_override:follow_lost,learnedw:success"
21,68.000,1,1,1,1,"yonly:success,geomw:success,risk_only:follow_lost,rule_override:collision,learnedw:success"
23,68.000,1,1,1,1,"yonly:success,geomw:collision,risk_only:success,rule_override:follow_lost,learnedw:success"
33,68.000,1,1,1,1,"yonly:follow_lost,geomw:success,risk_only:success,rule_override:collision,learnedw:success"
43,68.000,1,1,1,1,"yonly:success,geomw:success,risk_only:follow_lost,rule_override:collision,learnedw:success"
11,52.000,1,1,0,2,"yonly:follow_lost,geomw:success,risk_only:success,rule_override:follow_lost,learnedw:success"
47,52.000,1,1,0,2,"yonly:follow_lost,geomw:success,risk_only:follow_lost,rule_override:success,learnedw:success"
0,50.000,1,1,1,0,"yonly:collision,geomw:success,risk_only:success,rule_override:success,learnedw:success"
2,50.000,1,1,1,0,"yonly:collision,geomw:success,risk_only:success,rule_override:success,learnedw:success"
8,50.000,1,1,1,0,"yonly:success,geomw:success,risk_only:collision,rule_override:success,learnedw:success"
14,50.000,1,1,1,0,"yonly:collision,geomw:success,risk_only:success,rule_override:success,learnedw:success"
24,50.000,1,1,1,0,"yonly:collision,geomw:success,risk_only:success,rule_override:success,learnedw:success"
42,50.000,1,1,1,0,"yonly:success,geomw:success,risk_only:collision,rule_override:success,learnedw:success"
56,50.000,1,1,1,0,"yonly:success,geomw:collision,risk_only:success,rule_override:success,learnedw:success"
57,50.000,1,1,1,0,"yonly:collision,geomw:success,risk_only:success,rule_override:success,learnedw:success"
58,50.000,1,1,1,0,"yonly:success,geomw:success,risk_only:collision,rule_override:success,learnedw:success"
6,16.000,1,1,0,0,"yonly:success,geomw:success,risk_only:success,rule_override:success,learnedw:success"
12,16.000,1,1,0,0,"yonly:success,geomw:success,risk_only:success,rule_override:success,learnedw:success"
16,16.000,1,1,0,0,"yonly:success,geomw:success,risk_only:success,rule_override:success,learnedw:success"
18,16.000,1,1,0,0,"yonly:success,geomw:success,risk_only:success,rule_override:success,learnedw:success"
20,16.000,1,1,0,0,"yonly:success,geomw:success,risk_only:success,rule_override:success,learnedw:success"
22,16.000,1,1,0,0,"yonly:success,geomw:success,risk_only:success,rule_override:success,learnedw:success"
26,16.000,1,1,0,0,"yonly:success,geomw:success,risk_only:success,rule_override:success,learnedw:success"
28,16.000,1,1,0,0,"yonly:success,geomw:success,risk_only:success,rule_override:success,learnedw:success"
30,16.000,1,1,0,0,"yonly:success,geomw:success,risk_only:success,rule_override:success,learnedw:success"
32,16.000,1,1,0,0,"yonly:success,geomw:success,risk_only:success,rule_override:success,learnedw:success"
36,16.000,1,1,0,0,"yonly:success,geomw:success,risk_only:success,rule_override:success,learnedw:success"
38,16.000,1,1,0,0,"yonly:success,geomw:success,risk_only:success,rule_override:success,learnedw:success"
40,16.000,1,1,0,0,"yonly:success,geomw:success,risk_only:success,rule_override:success,learnedw:success"
44,16.000,1,1,0,0,"yonly:success,geomw:success,risk_only:success,rule_override:success,learnedw:success"
50,16.000,1,1,0,0,"yonly:success,geomw:success,risk_only:success,rule_override:success,learnedw:success"
52,16.000,1,1,0,0,"yonly:success,geomw:success,risk_only:success,rule_override:success,learnedw:success"
54,16.000,1,1,0,0,"yonly:success,geomw:success,risk_only:success,rule_override:success,learnedw:success"
62,16.000,1,1,0,0,"yonly:success,geomw:success,risk_only:success,rule_override:success,learnedw:success"
46,-110.000,1,0,1,0,"yonly:collision,geomw:success,risk_only:success,rule_override:success,learnedw:collision"
10,-144.000,1,0,0,0,"yonly:success,geomw:success,risk_only:success,rule_override:success,learnedw:collision"
