Speed,Method,Seeds,Num Runs,Task Success Mean,Task Success Std,Row-progress Mean,Row-progress Std,Collision Mean,Collision Std,Follow MAE [m] Mean,Follow MAE [m] Std,Sources
0.35,Y-only,"1,2,3",3,0.9791666666666666,0.004510548978043951,0.995833333581686,0.0009021097418388563,0.020833333333333332,0.004510548978043952,0.2166112258446068,0.0007134239694151439,agents/eval_data/s_0.35/moe_teacher_s_pcr_line_avoid_basic_yonly_seed1_20260528_161701/metrics.json;agents/eval_data_seed23/s_0.35/moe_teacher_s_pcr_line_avoid_basic_yonly_seed2_20260528_224004/metrics.json;agents/eval_data_seed23/s_0.35/moe_teacher_s_pcr_line_avoid_basic_yonly_seed3_20260529_010746/metrics.json
0.35,Geom-w,"1,2,3",3,0.96875,0.013531646934131853,0.9921875002716357,0.006249999918509277,0.03125,0.013531646934131853,0.17056510733741592,0.0007951717946948551,agents/eval_data/s_0.35/moe_teacher_s_pcr_line_avoid_basic_geomw_w0.15_seed1_20260528_160045/metrics.json;agents/eval_data_seed23/s_0.35/moe_teacher_s_pcr_line_avoid_basic_geomw_w0.15_seed2_20260528_225642/metrics.json;agents/eval_data_seed23/s_0.35/moe_teacher_s_pcr_line_avoid_basic_geomw_w0.15_seed3_20260529_012434/metrics.json
0.35,Risk-only,"1,2,3",3,0.9635416666666666,0.011933790872280834,0.9932291670702398,0.0023867580321942933,0.036458333333333336,0.011933790872280832,0.16392173936689555,0.00076011466391039,agents/eval_data_risk_only/s_0.35/moe_teacher_s_pcr_line_avoid_basic_risk_only_gam0.15_seed1_20260610_150523/metrics.json;agents/eval_data_risk_only/s_0.35/moe_teacher_s_pcr_line_avoid_basic_risk_only_gam0.15_seed2_20260610_155037/metrics.json;agents/eval_data_risk_only/s_0.35/moe_teacher_s_pcr_line_avoid_basic_risk_only_gam0.15_seed3_20260610_163549/metrics.json
0.35,Rule-Override,"1,2,3",3,0.6458333333333334,0.06314768569261532,0.8208333380365124,0.039907525659341476,0.3463541666666667,0.06644453553215143,0.16371051532195532,0.008362914084057304,agents/eval_data_rule_override_current/s_0.35/moe_teacher_s_pcr_line_avoid_basic_rule_override_k8_m0.1_h0.45_smin0.85_slow0.1_yawloss0.3_seed1_20260601_172016/metrics.json;agents/eval_data_rule_override_current/s_0.35/moe_teacher_s_pcr_line_avoid_basic_rule_override_k8_m0.1_h0.45_smin0.85_slow0.1_yawloss0.3_seed2_20260601_180053/metrics.json;agents/eval_data_rule_override_current/s_0.35/moe_teacher_s_pcr_line_avoid_basic_rule_override_k8_m0.1_h0.45_smin0.85_slow0.1_yawloss0.3_seed3_20260601_184041/metrics.json
0.35,Learned-w,"1,2,3",3,0.9869791666666666,0.009021097956087904,0.997916666790843,0.0009021097418388563,0.013020833333333334,0.009021097956087904,0.11968399391792432,0.000430868286170237,agents/eval_data/s_0.35/moe_teacher_s_pcr_line_avoid_basic_learnedw2_signed_lam0.3_gam0.15_m0.05_rowrel_aux0.05_riskmem_lc0.4_seed1_20260528_161721/metrics.json;agents/eval_data_seed23/s_0.35/moe_teacher_s_pcr_line_avoid_basic_learnedw2_signed_lam0.3_gam0.15_m0.05_rowrel_aux0.05_riskmem_lc0.4_seed2_20260528_231450/metrics.json;agents/eval_data_seed23/s_0.35/moe_teacher_s_pcr_line_avoid_basic_learnedw2_signed_lam0.3_gam0.15_m0.05_rowrel_aux0.05_riskmem_lc0.4_seed3_20260529_014249/metrics.json
0.50,Y-only,"1,2,3",3,0.0,0.0,0.9296875032984341,0.01220351457753615,0.3072916666666667,0.06362912355661779,0.9690227825260229,0.035245709417573,agents/eval_data/s_0.5/moe_teacher_s_pcr_line_avoid_basic_yonly_seed1_20260527_154556/metrics.json;agents/eval_data_seed23/s_0.5/moe_teacher_s_pcr_line_avoid_basic_yonly_seed2_20260528_233600/metrics.json;agents/eval_data_seed23/s_0.5/moe_teacher_s_pcr_line_avoid_basic_yonly_seed3_20260529_020506/metrics.json
0.50,Geom-w,"1,2,3",3,0.9348958333333334,0.004510548978043951,0.9723958339697371,0.007045702430702851,0.06510416666666667,0.004510548978043951,0.43035002758407553,0.0013439346669981787,agents/eval_data/s_0.5/moe_teacher_s_pcr_line_avoid_basic_geomw_w0.15_seed1_20260527_152600/metrics.json;agents/eval_data_seed23/s_0.5/moe_teacher_s_pcr_line_avoid_basic_geomw_w0.15_seed2_20260528_234932/metrics.json;agents/eval_data_seed23/s_0.5/moe_teacher_s_pcr_line_avoid_basic_geomw_w0.15_seed3_20260529_021838/metrics.json
0.50,Risk-only,"1,2,3",3,0.9713541666666666,0.009021097956087904,0.9895833336437742,0.004510548843619116,0.028645833333333332,0.009021097956087902,0.40458966067583657,0.0010765090854920637,agents/eval_data_risk_only/s_0.5/moe_teacher_s_pcr_line_avoid_basic_risk_only_gam0.15_seed1_20260610_151849/metrics.json;agents/eval_data_risk_only/s_0.5/moe_teacher_s_pcr_line_avoid_basic_risk_only_gam0.15_seed2_20260610_160351/metrics.json;agents/eval_data_risk_only/s_0.5/moe_teacher_s_pcr_line_avoid_basic_risk_only_gam0.15_seed3_20260610_164903/metrics.json
0.50,Rule-Override,"1,2,3",3,0.7369791666666666,0.07088884160841771,0.9000000029336661,0.027775606959473502,0.24739583333333334,0.07259041596232477,0.3807740546316629,0.013238412984430353,agents/eval_data_rule_override_current/s_0.5/moe_teacher_s_pcr_line_avoid_basic_rule_override_k8_m0.1_h0.45_smin0.85_slow0.1_yawloss0.3_seed1_20260601_173244/metrics.json;agents/eval_data_rule_override_current/s_0.5/moe_teacher_s_pcr_line_avoid_basic_rule_override_k8_m0.1_h0.45_smin0.85_slow0.1_yawloss0.3_seed2_20260601_181312/metrics.json;agents/eval_data_rule_override_current/s_0.5/moe_teacher_s_pcr_line_avoid_basic_rule_override_k8_m0.1_h0.45_smin0.85_slow0.1_yawloss0.3_seed3_20260601_185319/metrics.json
0.50,Learned-w,"1,2,3",3,0.9921875,0.0078125,0.9989583333954215,0.0018042194836777126,0.0078125,0.0078125,0.3552268908224545,0.002656787838912063,agents/eval_data/s_0.5/moe_teacher_s_pcr_line_avoid_basic_learnedw2_signed_lam0.3_gam0.15_m0.05_rowrel_aux0.05_riskmem_lc0.4_seed1_20260527_153821/metrics.json;agents/eval_data_seed23/s_0.5/moe_teacher_s_pcr_line_avoid_basic_learnedw2_signed_lam0.3_gam0.15_m0.05_rowrel_aux0.05_riskmem_lc0.4_seed2_20260529_000258/metrics.json;agents/eval_data_seed23/s_0.5/moe_teacher_s_pcr_line_avoid_basic_learnedw2_signed_lam0.3_gam0.15_m0.05_rowrel_aux0.05_riskmem_lc0.4_seed3_20260529_023210/metrics.json
0.60,Y-only,"1,2,3",3,0.0,0.0,0.7942708441987634,0.009155414545773153,0.7135416666666666,0.03608439182435161,1.1330675102264298,0.011981489295798701,agents/eval_data/s_0.6/moe_teacher_s_pcr_line_avoid_basic_yonly_seed1_20260526_204747/metrics.json;agents/eval_data_seed23/s_0.6/moe_teacher_s_pcr_line_avoid_basic_yonly_seed2_20260529_001643/metrics.json;agents/eval_data_seed23/s_0.6/moe_teacher_s_pcr_line_avoid_basic_yonly_seed3_20260529_024609/metrics.json
0.60,Geom-w,"1,2,3",3,0.0026041666666666665,0.004510548978043952,0.7458333401785543,0.018109727858589504,0.4270833333333333,0.08353653610596584,1.1722976049464122,0.01520864009923617,agents/eval_data/s_0.6/moe_teacher_s_pcr_line_avoid_basic_geomw_w0.15_seed1_20260526_204407/metrics.json;agents/eval_data_seed23/s_0.6/moe_teacher_s_pcr_line_avoid_basic_geomw_w0.15_seed2_20260529_003558/metrics.json;agents/eval_data_seed23/s_0.6/moe_teacher_s_pcr_line_avoid_basic_geomw_w0.15_seed3_20260529_030633/metrics.json
0.60,Risk-only,"1,2,3",3,0.0078125,0.0078125,0.7151041789135585,0.0018042197525273823,0.2942708333333333,0.07088884160841771,1.3048270039561345,0.03123926459774821,agents/eval_data_risk_only/s_0.6/moe_teacher_s_pcr_line_avoid_basic_risk_only_gam0.15_seed1_20260610_153258/metrics.json;agents/eval_data_risk_only/s_0.6/moe_teacher_s_pcr_line_avoid_basic_risk_only_gam0.15_seed2_20260610_161753/metrics.json;agents/eval_data_risk_only/s_0.6/moe_teacher_s_pcr_line_avoid_basic_risk_only_gam0.15_seed3_20260610_170307/metrics.json
0.60,Rule-Override,"1,2,3",3,0.734375,0.0546875,0.861458335731489,0.026623703447515044,0.2109375,0.04752158226795484,0.582046600632192,0.019423813505521397,agents/eval_data_rule_override_current/s_0.6/moe_teacher_s_pcr_line_avoid_basic_rule_override_k8_m0.1_h0.45_smin0.85_slow0.1_yawloss0.3_seed1_20260601_174318/metrics.json;agents/eval_data_rule_override_current/s_0.6/moe_teacher_s_pcr_line_avoid_basic_rule_override_k8_m0.1_h0.45_smin0.85_slow0.1_yawloss0.3_seed2_20260601_182345/metrics.json;agents/eval_data_rule_override_current/s_0.6/moe_teacher_s_pcr_line_avoid_basic_rule_override_k8_m0.1_h0.45_smin0.85_slow0.1_yawloss0.3_seed3_20260601_190353/metrics.json
