Speed,Method,Window,Δy_w,Δy_r,Δy_total
0.35,Risk-only,All,0.000000,-0.000056,-0.000056
0.35,Risk-only,C_unsafe,0.000000,0.000000,0.000000
0.35,Risk-only,C_avoid,0.000000,0.000000,0.000000
0.35,Learned-w,All,0.064810,-0.000074,0.064736
0.35,Learned-w,C_unsafe,0.055419,0.000000,0.055419
0.35,Learned-w,C_avoid,0.063323,0.000000,0.063323
0.50,Risk-only,All,0.000000,-0.000042,-0.000042
0.50,Risk-only,C_unsafe,0.000000,0.000000,0.000000
0.50,Risk-only,C_avoid,0.000000,0.000000,0.000000
0.50,Learned-w,All,0.058535,-0.000131,0.058404
0.50,Learned-w,C_unsafe,0.051552,0.000000,0.051552
0.50,Learned-w,C_avoid,0.061231,0.000000,0.061231
0.60,Risk-only,All,0.000000,-0.003843,-0.003843
0.60,Risk-only,C_unsafe,0.000000,0.000004,0.000004
0.60,Risk-only,C_avoid,0.000000,0.000005,0.000005
0.60,Learned-w,All,0.063479,-0.000376,0.063103
0.60,Learned-w,C_unsafe,0.049456,0.000000,0.049456
0.60,Learned-w,C_avoid,0.062224,0.000000,0.062224
