step,env_id,dist,bearing_rad,bearing_deg,follow_ok,collision,done,cmd_y,cmd_omega,progress
0,0,0.800152063369751,0.00024040319840423763,0.013774088650008983,1,1,0,-0.15987835824489594,-0.0003365645243320614,0.05999999865889549
1,0,0.8608878254890442,0.006007628981024027,0.34421178549315606,1,0,0,-0.11128772795200348,-0.00841068010777235,0.05999999865889549
2,0,0.8642075061798096,-0.005321869160979986,-0.3049206420449817,1,0,0,-0.10863245278596878,0.007450616918504238,0.11999999731779099
3,0,0.9330697655677795,0.01076329592615366,0.6166914302189573,1,0,0,-0.05354108661413193,-0.015068613924086094,0.17999999225139618
4,0,1.0043567419052124,0.00242533627897501,0.13896153268523168,1,0,0,0.0034853832330554724,-0.003395470790565014,0.23999999463558197
5,0,1.0684386491775513,-0.0018027161713689566,-0.10328802827942367,1,0,0,0.05475082993507385,0.002523802686482668,0.29999998211860657
6,0,1.1356350183486938,0.022065890952944756,1.2642824227996408,1,0,0,0.10848160088062286,-0.030892247334122658,0.35999998450279236
7,0,1.1893209218978882,0.02790515311062336,1.5988474999050795,1,0,0,0.15139777958393097,-0.039067212492227554,0.35999998450279236
8,0,1.1792930364608765,0.024015244096517563,1.3759721307069221,1,0,0,0.14339306950569153,-0.03362134099006653,0.41999998688697815
9,0,1.2260161638259888,0.015310237184166908,0.8772119739970216,1,0,0,0.18079175055027008,-0.02143433503806591,0.47999998927116394
10,0,1.278659462928772,0.02491961419582367,1.4277887205149893,0,0,0,0.22285835444927216,-0.03488745912909508,0.5399999618530273
11,0,1.326409935951233,0.005110161378979683,0.29279067964628863,0,0,0,0.26112455129623413,-0.007154225837439299,0.5999999642372131
12,0,1.3675330877304077,-0.011749237775802612,-0.6731817370491643,0,0,0,0.2940061688423157,0.016448931768536568,0.6599999666213989
13,0,1.4081727266311646,0.011913074180483818,0.6825688715679947,0,0,0,0.32651498913764954,-0.016678307205438614,0.6599999666213989
14,0,1.3810665607452393,0.0019634582567960024,0.11249787136452473,0,0,0,0.3048526644706726,-0.0027488376945257187,0.7199999690055847
15,0,1.4107935428619385,-0.010260352864861488,-0.5878749154715264,0,0,0,0.32861754298210144,0.014364494010806084,0.7799999713897705
16,0,1.4367141723632812,-0.016005853191018105,-0.9170678353513384,0,0,0,0.34932658076286316,0.022408194839954376,0.8399999737739563
17,0,1.4598416090011597,-0.018553387373685837,-1.0630307921835092,0,0,0,0.3678099513053894,0.025974741205573082,0.8999999761581421
18,0,1.4792908430099487,-0.014268940314650536,-0.8175500581535486,0,0,0,0.38339364528656006,0.019976520910859108,0.9599999785423279
19,0,1.49263334274292,-0.015631118789315224,-0.8955971356954033,0,0,0,0.3940585255622864,0.021883565932512283,0.9599999785423279
20,0,1.4522885084152222,-0.006569984834641218,-0.37643240248989784,0,0,0,0.3618229925632477,0.009197982028126717,1.0199999809265137
21,0,1.475818157196045,-0.026607919484376907,-1.5245214880787064,0,0,0,0.3805198073387146,0.03725108504295349,1.0799999237060547
22,0,1.4991319179534912,-0.06661110371351242,-3.816535111492467,0,0,0,0.3984200060367584,0.09325554221868515,1.1399998664855957
23,0,1.5188250541687012,-0.06717991828918457,-3.849125786004006,0,0,0,0.4141237735748291,0.09405188262462616,1.1999998092651367
24,0,1.5463584661483765,-0.028692778199911118,-1.6439750933598825,0,0,0,0.4369068741798401,0.040169887244701385,1.2599997520446777
25,0,1.5684173107147217,-0.038511842489242554,-2.2065660359061967,0,0,0,0.45439666509628296,0.053916577249765396,1.2599997520446777
26,0,1.527785062789917,-0.04534595087170601,-2.5981316029563306,0,0,0,0.421794056892395,0.06348433345556259,1.3199996948242188
27,0,1.5441399812698364,-0.04156128317117691,-2.3812861168565314,0,0,0,0.4349360764026642,0.058185797184705734,1.3799996376037598
28,0,1.5656957626342773,-0.019671736285090446,-1.1271074648300434,0,0,0,0.4524690508842468,0.027540430426597595,1.4399995803833008
29,0,1.578788161277771,-0.011978001333773136,-0.6862889234272715,0,0,0,0.46299731731414795,0.016769204288721085,1.4999995231628418
30,0,1.5855891704559326,0.004637036472558975,0.26568261932586007,0,0,0,0.46846631169319153,-0.006491851061582565,1.5599994659423828
31,0,1.5988622903823853,0.008936818689107895,0.5120419931595194,0,0,0,0.4790706932544708,-0.012511545792222023,1.5599994659423828
32,0,1.5520637035369873,0.010852093808352947,0.6217791740986763,0,0,0,0.4416249394416809,-0.015192931517958641,1.6199994087219238
33,0,1.5611428022384644,0.009343648329377174,0.5353516145277746,0,0,0,0.4488946795463562,-0.013081107288599014,1.6799993515014648
34,0,1.565040946006775,0.0127334613353014,0.7295735931057878,0,0,0,0.4519961178302765,-0.01782684586942196,1.7399992942810059
35,0,1.5789024829864502,0.028599459677934647,1.6386283359002318,0,0,0,0.4629325866699219,-0.040039241313934326,1.7999992370605469
36,0,1.5863521099090576,0.024693621322512627,1.4148402826742317,0,0,0,0.4689386785030365,-0.034571073949337006,1.859999179840088
37,0,1.587056279182434,0.031393490731716156,1.7987145231104023,0,0,0,0.4694136083126068,-0.0439508855342865,1.859999179840088
38,0,1.5328103303909302,0.025287913158535957,1.4488906966774493,0,0,0,0.42611199617385864,-0.03540307283401489,1.919999122619629
39,0,1.544295072555542,0.04602967947721481,2.6373063663843506,0,0,0,0.43497487902641296,-0.06444154679775238,1.97999906539917
40,0,1.557623028755188,0.04824090003967285,2.76399997218574,0,0,0,0.4455794394016266,-0.06753725558519363,2.039999008178711
